Date,Open,High,Low,Close,Adj Close,Volume
4/6/2017,102.239998,104.199997,99.592003,103.248001,103.248001,14901800
4/7/2017,109,113,106.468002,109.089996,109.089996,17919800
4/8/2017,110.839996,111.442001,106.666,109.767998,109.767998,12656000
4/9/2017,112.417999,115.036003,111.421997,114.599998,114.599998,13650000
4/13/2017,118.031998,130.399994,116.106003,130.190002,130.190002,22475400
4/14/2017,139.794006,148.376007,138.485992,141.977997,141.977997,30576500
4/15/2017,148.399994,150.626007,142,145.966003,145.966003,23577000
4/16/2017,143.388,151.889999,141.343994,149.042007,149.042007,20657900
4/17/2017,154.455994,154.990005,149.531998,150.778,150.778,13128200
4/20/2017,146.539993,153.113998,142.442001,149.272003,149.272003,14746600
4/21/2017,146.024002,150.666,134.757996,137.343994,137.343994,20209100
4/22/2017,140.796005,146.800003,137.742004,146.421997,146.421997,14224800
4/23/2017,145.520004,146.800003,140.626007,141.126007,141.126007,13236700
4/24/2017,142.162003,146.145996,139.636002,145.029999,145.029999,13237600
4/27/2017,147.522003,159.897995,147,159.75,159.75,20681400
4/28/2017,159.128006,161,151.337997,153.824005,153.824005,15222000
4/29/2017,158.033997,160.639999,156.632004,160.102005,160.102005,16216000
4/30/2017,171.037994,173.964005,152.699997,156.376007,156.376007,28471900
5/1/2017,151,154.554001,136.608002,140.264008,140.264008,32531800
5/4/2017,140.199997,152.399994,139.600006,152.238007,152.238007,19237100
5/5/2017,157.957993,159.783997,152.436005,153.641998,153.641998,16991700
5/6/2017,155.300003,157.960007,152.222,156.516006,156.516006,11123200
5/7/2017,155.442001,159.279999,154.470001,156.007996,156.007996,11527700
5/8/2017,158.753998,164.800003,157.401993,163.884003,163.884003,16130100
5/11/2017,158.102005,164.800003,157,162.257996,162.257996,16519600
5/12/2017,165.399994,168.658005,161.600006,161.882004,161.882004,15906900
5/13/2017,164.166,165.199997,152.660004,158.192001,158.192001,19065500
5/14/2017,156,160.671997,152.800003,160.666,160.666,13682200
5/15/2017,158.070007,161.009995,157.309998,159.834,159.834,10518400
5/18/2017,165.556,166.944,160.776001,162.725998,162.725998,11698100
5/19/2017,163.033997,164.414001,161.216003,161.602005,161.602005,9636500
5/20/2017,164.100006,165.199997,162.360001,163.112,163.112,7309300
5/21/2017,163.199997,166.5,159.199997,165.520004,165.520004,12254600
5/22/2017,164.434006,166.356003,162.399994,163.376007,163.376007,9987500
5/26/2017,166.899994,166.919998,163.141998,163.774002,163.774002,8089700
5/27/2017,164.171997,165.542007,157,164.046005,164.046005,11549500
5/28/2017,162.701996,164.949997,160.337997,161.162003,161.162003,7255600
5/29/2017,161.75,167,160.841995,167,167,11812500
6/1/2017,171.600006,179.800003,170.820007,179.619995,179.619995,14939500
6/2/2017,178.940002,181.731995,174.199997,176.311996,176.311996,13565600
6/3/2017,177.623993,179.587997,176.020004,176.591995,176.591995,7949500
6/4/2017,177.975998,179.149994,171.688004,172.876007,172.876007,8887700
6/5/2017,175.567993,177.304001,173.240005,177.132004,177.132004,7811900
6/8/2017,183.800003,190,181.832001,189.983994,189.983994,14174700
6/9/2017,188.001999,190.888,184.785995,188.134003,188.134003,11388200
6/10/2017,198.376007,205.496002,196.5,205.009995,205.009995,18563400
6/11/2017,198.039993,203.792007,194.399994,194.567993,194.567993,15916500
6/12/2017,196,197.595993,182.520004,187.056,187.056,16730200
6/15/2017,183.557999,199.768005,181.699997,198.179993,198.179993,78486000
6/16/2017,202.369995,202.576004,192.477997,196.425995,196.425995,70255500
6/17/2017,197.542007,201,196.514008,198.358002,198.358002,49454000
6/18/2017,200.600006,203.839996,198.893997,200.792007,200.792007,48759500
6/19/2017,202.556,203.194,198.268005,200.179993,200.179993,43398500
6/22/2017,199.990005,201.776001,198.003998,198.863998,198.863998,31812000
6/23/2017,199.776001,202.399994,198.802002,200.356003,200.356003,31826500
6/24/2017,198.822006,200.175995,190.628006,192.169998,192.169998,54798000
6/25/2017,190.854004,197.195999,187.429993,197.195999,197.195999,46272500
6/26/2017,198.955994,199,190.973999,191.947998,191.947998,44274500
6/29/2017,193.802002,202,189.703995,201.869995,201.869995,45132000
6/30/2017,201.300003,217.537994,200.746002,215.962006,215.962006,84592500
7/1/2017,216.600006,227.065994,216.100006,223.925995,223.925995,66634500
7/2/2017,244.296005,245.600006,237.119995,241.731995,241.731995,86250500
7/6/2017,255.337997,275.558014,253.207993,274.31601,274.31601,102849500
7/7/2017,281.002014,285.899994,267.34201,277.971985,277.971985,107448500
