Date,Open,High,Low,Close,Adj Close,Volume
12/18/2017,174.880005,177.199997,174.860001,176.419998,175.703629,1692800
12/19/2017,175.029999,175.389999,174.089996,174.539993,173.831268,1393000
12/20/2017,174.869995,175.419998,173.25,174.350006,173.642044,1070200
12/21/2017,174.169998,176.020004,174.100006,175.009995,174.299362,937400
12/22/2017,174.679993,175.419998,174.5,175.009995,174.299362,878600
12/26/2017,170.800003,171.470001,169.679993,170.570007,169.877396,564600
12/27/2017,170.100006,170.779999,169.710007,170.600006,169.907272,945400
12/28/2017,171,171.850006,170.479996,171.080002,170.385315,698700
12/29/2017,170.520004,170.589996,169.220001,169.229996,168.542831,827600
1/2/2018,170.160004,172.300003,169.259995,172.259995,171.560516,2388800
1/3/2018,172.529999,174.550003,171.960007,172.229996,171.53064,1308100
1/4/2018,172.539993,173.470001,172.080002,173.029999,172.327393,1195500
1/5/2018,173.440002,175.369995,173.050003,175,174.289398,1144100
1/8/2018,174.350006,175.610001,173.929993,174.350006,173.642044,1343300
1/9/2018,174.550003,175.059998,173.410004,174.330002,173.622116,2120800
1/10/2018,173.160004,174.300003,173,174.289993,173.582275,1171700
1/11/2018,174.589996,175.490005,174.490005,175.279999,174.568268,1046500
1/12/2018,176.179993,177.360001,175.649994,177.089996,176.370911,2010100
1/16/2018,177.899994,179.389999,176.139999,176.190002,175.474579,1809300
1/17/2018,176.149994,179.25,175.070007,179.100006,178.372757,1730100
1/18/2018,179.369995,180.100006,178.25,179.259995,178.532104,1561200
1/19/2018,178.610001,179.580002,177.410004,178.460007,177.735352,1628100
1/22/2018,177.300003,177.779999,176.600006,177,176.281281,2922500
1/23/2018,177.300003,179.440002,176.820007,177.039993,176.321106,5048100
1/24/2018,177.25,177.300003,173.199997,174.220001,173.512573,2377500
1/25/2018,174.509995,174.949997,170.529999,171.110001,170.415192,2213500
1/26/2018,172,172,170.059998,171.509995,170.813568,2538400
1/29/2018,170.160004,170.160004,167.070007,167.960007,167.278,1866500
1/30/2018,165.529999,167.369995,164.699997,166.970001,166.292007,2397400
1/31/2018,166.869995,168.440002,166.5,167.429993,166.750137,2083600
2/1/2018,167.169998,168.619995,166.759995,167.779999,167.098724,1993900
2/2/2018,166,166.800003,160.100006,160.5,159.848282,2297900
2/5/2018,159.100006,163.880005,156,156.490005,155.854568,3358900
2/6/2018,154.830002,163.720001,154,163.029999,162.368011,3932100
2/7/2018,163.089996,163.399994,159.070007,159.539993,158.892166,3034200
2/8/2018,160.289993,161,155.029999,155.149994,154.520004,3160300
2/9/2018,157.070007,157.889999,150.240005,156.410004,156.410004,3655400
2/12/2018,158.5,163.889999,157.509995,162.710007,162.710007,2404600
2/13/2018,161.949997,164.75,161.649994,164.339996,164.339996,1282300
2/14/2018,163.039993,167.539993,162.880005,167.369995,167.369995,1907100
2/15/2018,169.789993,173.089996,169,172.990005,172.990005,1406200
2/16/2018,172.360001,174.820007,171.770004,172.429993,172.429993,1923900
2/20/2018,172.050003,174.259995,171.419998,171.850006,171.850006,1533100
2/21/2018,172.830002,174.119995,171.009995,171.070007,171.070007,1334500
2/22/2018,171.800003,173.949997,171.710007,172.5,172.5,1744700
2/23/2018,173.669998,175.649994,173.539993,175.5,175.5,2006300
2/26/2018,176.350006,179.389999,176.210007,178.970001,178.970001,1809600
2/27/2018,179.100006,180.479996,178.160004,178.389999,178.389999,1869500
2/28/2018,179.259995,180.619995,178.050003,178.119995,178.119995,1462500
3/1/2018,178.539993,179.779999,172.660004,175,175,2382100
3/2/2018,172.800003,176.300003,172.449997,176.210007,176.210007,1844200
3/5/2018,175.210007,177.740005,174.520004,176.820007,176.820007,1903200
3/6/2018,177.910004,178.25,176.130005,176.669998,176.669998,1468800
3/7/2018,174.940002,175.850006,174.270004,175.029999,175.029999,1779400
3/8/2018,175.479996,177.119995,175.070007,176.940002,176.940002,1657200
3/9/2018,177.960007,180,177.389999,179.979996,179.979996,1429200
3/12/2018,180.289993,182.389999,180.210007,181.720001,181.720001,1215700
3/13/2018,182.589996,183.5,179.240005,179.970001,179.970001,1347500
3/14/2018,180.320007,180.520004,177.809998,178.440002,178.440002,1285100
3/15/2018,178.5,180.240005,178.070007,178.649994,178.649994,1318700
3/16/2018,178.649994,179.119995,177.619995,178.020004,178.020004,3954900
3/19/2018,177.320007,177.470001,173.660004,175.300003,175.300003,1515200
3/20/2018,175.240005,176.800003,174.940002,175.240005,175.240005,973800
3/21/2018,175.039993,175.089996,171.259995,171.270004,171.270004,1316300
3/22/2018,170,172.679993,168.600006,168.850006,168.850006,2353100
3/23/2018,168.389999,169.919998,164.940002,164.940002,164.940002,1690900
3/26/2018,168.070007,173.100006,166.440002,172.770004,172.770004,1364500
3/27/2018,173.679993,175.149994,166.919998,168.339996,168.339996,1513000
3/28/2018,167.25,170.020004,165.190002,166.479996,166.479996,1788100
3/29/2018,167.809998,171.75,166.899994,167.779999,167.779999,1378000
4/2/2018,166.639999,168.940002,164.470001,166.679993,166.679993,2215400
4/3/2018,167.639999,168.75,164.880005,168.389999,168.389999,1472100
4/4/2018,164.880005,172.009995,164.770004,171.610001,171.610001,1479700
